Number,Name,Widths,Hights,Latitude,Longitude,Rubbish,Plastics,Cans,Glass,Papers
59,IMG_059,3024,4032,37.59,127.01,0,1,0,0,0
60,IMG_060,4032,3024,37.59,127.01,0,1,0,0,0
61,IMG_061,3024,4032,37.59,127.01,0,1,0,0,0
62,IMG_062,3024,4032,37.59,127.01,0,1,0,0,0
63,IMG_063,3024,4032,37.59,127.01,0,1,0,0,0
64,IMG_064,3024,4032,37.59,127.01,0,1,0,0,0
65,IMG_065,3024,4032,37.59,127.01,0,1,0,0,0
66,IMG_066,3024,4032,37.53,126.88,0,1,0,0,0
67,IMG_067,3024,4032,37.53,126.88,0,1,0,0,0
68,IMG_068,3024,4032,37.53,126.88,0,1,0,0,0
69,IMG_069,4032,3024,37.53,126.88,0,1,0,0,0
70,IMG_070,4032,3024,37.53,126.88,0,1,0,0,0
71,IMG_071,3024,4032,37.53,126.88,0,1,0,0,0
72,IMG_072,3024,4032,37.53,126.88,0,1,0,0,0
73,IMG_073,4032,3024,37.53,126.88,0,1,0,0,0
74,IMG_074,4032,3024,37.53,126.88,0,1,0,0,0
75,IMG_075,4032,3024,37.53,126.88,1,0,0,0,0
76,IMG_076,3024,4032,37.53,126.88,1,0,0,0,0
77,IMG_077,3024,4032,37.53,126.88,1,0,0,0,0
78,IMG_078,4032,3024,37.53,126.88,1,0,0,0,0
79,IMG_079,3024,4032,37.53,126.88,1,1,1,0,0
80,IMG_080,3024,4032,37.53,126.88,0,1,1,0,0
81,IMG_081,3024,4032,37.53,126.88,1,1,1,0,0
82,IMG_082,4032,3024,37.53,126.88,1,1,1,0,0
83,IMG_083,4032,3024,37.53,126.88,1,1,1,0,0
84,IMG_084,4032,3024,37.53,126.88,1,1,1,0,0
85,IMG_085,3024,4032,37.53,126.88,0,1,1,0,0
86,IMG_086,3024,4032,37.53,126.88,1,1,1,0,0
87,IMG_087,3024,4032,37.53,126.88,0,1,1,0,0
88,IMG_088,3024,4032,37.53,126.88,0,1,1,0,0
89,IMG_089,4032,3024,37.53,126.88,0,1,1,0,0
90,IMG_090,3024,4032,37.53,126.88,0,1,1,0,0
91,IMG_091,4032,3024,37.53,126.88,0,1,1,0,1
92,IMG_092,3024,4032,37.53,126.88,0,1,1,0,0
93,IMG_093,3024,4032,37.53,126.88,0,1,0,0,0
94,IMG_094,4032,3024,37.53,126.88,0,1,0,0,0
95,IMG_095,3024,4032,37.53,126.88,0,1,0,0,1
96,IMG_096,4032,3024,37.53,126.88,0,1,0,0,0
97,IMG_097,3024,4032,37.53,126.88,0,1,0,0,1
98,IMG_098,3024,4032,37.53,126.88,0,1,0,0,0
99,IMG_099,3024,4032,37.53,126.88,0,0,0,0,1
100,IMG_100,3024,4032,37.53,126.88,0,0,0,0,1
101,IMG_101,4032,3024,37.53,126.88,0,0,0,0,1
102,IMG_102,4032,3024,37.53,126.88,0,0,0,0,1
103,IMG_103,4032,3024,37.53,126.88,0,0,0,0,1
104,IMG_104,3024,4032,37.54,126.88,0,1,0,0,1
105,IMG_105,3024,4032,37.54,126.88,0,1,0,0,1
106,IMG_106,3024,4032,37.54,126.88,0,1,0,0,1
107,IMG_107,4032,3024,37.54,126.88,0,1,0,0,1
108,IMG_108,4032,3024,37.54,126.88,0,1,0,0,1
109,IMG_109,3024,4032,37.54,126.88,0,1,0,0,0
110,IMG_110,3024,4032,37.54,126.88,0,1,0,0,0
111,IMG_111,3024,4032,37.54,126.88,0,1,0,0,0
112,IMG_112,3024,4032,37.54,126.88,0,1,0,0,0
113,IMG_113,4032,3024,37.54,126.88,0,1,0,0,0
114,IMG_114,3024,4032,37.53,126.88,0,1,0,0,1
115,IMG_115,3024,4032,37.53,126.88,0,1,0,0,0
116,IMG_116,4032,3024,37.53,126.88,0,1,0,0,0
117,IMG_117,3024,4032,37.53,126.88,1,1,0,0,0
118,IMG_118,3024,4032,37.53,126.88,1,1,0,0,0
119,IMG_119,3024,4032,37.53,126.88,1,1,0,0,0
120,IMG_120,3024,4032,37.53,126.88,1,1,0,0,0
121,IMG_121,4032,3024,37.53,126.88,1,1,0,0,0
122,IMG_122,4032,3024,37.53,126.88,1,1,0,0,0
123,IMG_123,3024,4032,37.53,126.88,0,1,0,0,0
124,IMG_124,3024,4032,37.53,126.88,0,1,0,0,0
125,IMG_125,3024,4032,37.53,126.88,0,1,0,0,0
126,IMG_126,3024,4032,37.53,126.88,0,1,0,0,0
127,IMG_127,3024,4032,37.53,126.88,0,1,0,0,0
128,IMG_128,4032,3024,37.53,126.88,0,1,0,0,0
129,IMG_129,3024,4032,37.53,126.89,0,1,0,0,0
130,IMG_130,3024,4032,37.53,126.88,0,1,0,0,0
131,IMG_131,3024,4032,37.53,126.88,1,1,0,0,0
132,IMG_132,3024,4032,37.53,126.89,1,1,0,0,1
133,IMG_133,4032,3024,37.53,126.89,1,1,0,0,1
134,IMG_134,3024,4032,37.53,126.89,1,1,0,0,1
135,IMG_135,3024,4032,37.53,126.89,1,1,0,0,1
136,IMG_136,3024,4032,37.53,126.89,1,1,0,0,1
137,IMG_137,3024,4032,37.53,126.89,1,1,0,0,1
138,IMG_138,3024,4032,37.53,126.89,0,1,0,0,0
139,IMG_139,3024,4032,37.53,126.88,1,0,0,0,0
140,IMG_140,3024,4032,37.53,126.88,1,0,0,0,0
141,IMG_141,3024,4032,37.53,126.88,1,0,0,0,0
142,IMG_142,3024,4032,37.53,126.88,1,0,0,0,0
143,IMG_143,4032,3024,37.53,126.88,1,0,0,0,0
144,IMG_144,3024,4032,37.53,126.88,1,0,0,0,0
145,IMG_145,3024,4032,37.53,126.88,1,0,0,0,0
146,IMG_146,3024,4032,37.53,126.88,1,0,0,0,0
1,image_1,394,394,37.49,127.06,0,1,0,0,0
2,image_2,648,648,37.49,127.06,0,0,0,0,1
3,image_3,663,575,37.49,127.07,0,0,0,0,1
4,image_4,525,451,37.49,127.07,0,0,0,0,1
5,image_5,639,521,37.5,127.06,1,0,0,0,0
6,image_6,837,807,37.5,127.07,0,0,0,0,1
7,image_7,465,427,37.48,127.04,1,0,0,0,0
8,image_8,1440,1440,37.47,127.04,0,1,0,0,0
9,image_9,533,478,37.5,127.06,1,0,0,0,0
10,image_10,639,759,37.5,127.06,1,0,0,0,0
11,image_11,581,445,37.5,127.06,1,0,0,0,0
12,image_12,409,395,37.5,127.06,1,0,0,0,0
13,image_13,636,443,37.5,127.06,1,0,0,0,0
14,image_14,536,373,37.5,127.07,1,0,0,0,0
15,image_15,335,242,37.5,127.07,1,0,0,0,0
16,image_16,624,426,37.5,127.07,1,0,0,0,0
17,image_17,607,432,37.5,127.07,0,0,0,0,1
18,image_18,483,371,37.52,127.06,1,0,0,0,0
19,image_19,515,403,37.52,127.06,1,0,0,0,0
20,image_20,245,299,37.52,127.06,0,1,0,0,0
21,image_21,351,356,37.52,127.06,0,1,0,0,0
22,image_22,620,431,37.5,127.07,1,0,0,0,0
23,image_23,459,339,37.5,127.07,0,0,0,0,1
24,image_24,489,370,37.5,127.06,1,0,0,0,0
25,image_25,421,325,37.5,127.06,0,1,0,0,0
26,image_26,548,399,37.5,127.06,1,0,0,0,0
27,image_27,1400,700,37.5,127.06,0,1,0,0,0
28,image_28,1400,700,37.51,127.07,1,0,0,0,0
29,image_29,285,191,37.51,127.07,0,1,0,0,0
30,image_30,601,432,37.51,127.07,1,0,0,0,0
31,image_31,581,503,37.51,127.07,1,0,0,0,0
32,image_32,499,346,37.51,127.08,1,0,0,0,0
33,image_33,443,329,37.51,127.08,0,1,0,0,0
34,image_34,480,330,37.51,127.08,0,1,0,0,0
35,image_35,483,367,37.51,127.08,1,0,0,0,0
36,image_36,545,443,37.51,127.08,0,0,1,0,0
37,image_37,377,310,37.52,127.09,1,0,0,0,0
38,image_38,615,427,37.51,127.06,1,0,0,0,0
39,image_39,540,370,37.5,127.06,1,0,0,0,0
40,image_40,565,401,37.5,127.06,1,0,0,0,0
41,image_41,406,318,37.5,127.07,0,1,0,0,0
42,image_42,540,355,37.49,127.07,1,0,0,0,0
43,image_43,489,385,37.48,127.05,0,1,0,0,0
44,image_44,1055,917,37.51,127.06,1,0,0,0,0
45,image_45,811,1440,37.48,127.05,0,1,0,0,0
46,image_46,347,346,37.48,127.05,0,0,0,0,1
47,image_47,325,301,37.48,127.05,1,0,0,0,0
48,image_48,320,285,37.48,127.05,1,0,0,0,0
49,image_49,242,246,37.5,127.07,0,1,0,0,0
50,image_50,479,374,37.5,127.07,0,1,0,0,0
51,image_51,450,350,37.48,127.05,0,1,0,0,0
52,image_52,835,745,37.48,127.05,0,0,0,0,1
53,image_53,629,439,37.48,127.05,1,0,0,0,0
54,image_54,849,837,37.53,126.92,0,0,1,0,0
55,image_55,785,687,37.52,126.93,1,0,0,0,0
56,image_56,1440,1440,37.52,126.93,0,1,0,0,0
57,image_57,773,659,37.52,126.93,0,0,0,0,1
58,image_58,889,649,37.52,126.93,0,1,0,0,0
59,image_59,891,715,37.51,127.06,1,0,0,0,0
60,image_60,1173,977,37.51,127.06,1,0,0,0,0
61,image_61,825,717,37.52,126.93,1,0,0,0,0
62,image_62,565,451,37.52,126.93,0,1,0,0,0
63,image_63,841,551,37.52,126.93,1,0,0,0,0
64,image_64,485,529,37.52,126.93,1,0,0,0,0
65,image_65,475,375,37.52,126.93,1,0,0,0,0
66,image_66,255,283,37.52,126.93,1,0,0,0,0
67,image_67,1157,1011,37.51,127.06,1,0,0,0,0
68,image_68,961,693,37.51,127.06,1,0,0,0,0
69,image_69,569,557,37.51,127.06,0,1,0,0,0
70,image_70,711,587,37.51,127.06,0,0,0,0,1
71,image_71,535,541,37.51,127.06,0,0,1,0,0
72,image_72,713,589,37.51,127.06,0,1,0,0,0
73,image_73,921,721,37.51,127.06,0,1,0,0,0
74,image_74,745,643,37.51,127.06,1,0,0,0,0
75,image_75,673,591,37.51,127.06,1,0,0,0,0
76,image_76,871,655,37.51,127.06,0,0,0,0,1
77,image_77,781,625,37.51,127.06,1,0,0,0,0
78,image_78,799,707,37.51,127.06,1,0,0,0,0
79,image_79,851,689,37.51,127.06,0,1,0,0,0
80,image_80,621,641,37.51,127.06,1,0,0,0,0
81,image_81,669,539,37.51,127.06,0,1,0,0,0
82,image_82,505,431,37.51,127.06,0,1,0,0,0
83,image_83,509,511,37.51,127.06,0,1,0,0,0
84,image_84,763,725,37.51,127.06,0,0,1,0,0
85,image_85,579,569,37.51,127.06,1,0,0,0,0
86,image_86,595,561,37.51,127.06,1,0,0,0,0
87,image_87,645,493,37.51,127.06,1,0,0,0,0
88,image_88,497,465,37.51,127.06,1,0,0,0,0
89,image_89,495,413,37.51,127.06,0,0,1,0,0
90,image_90,563,529,37.51,127.06,0,1,0,0,0
91,image_91,561,573,37.51,127.06,0,1,0,0,0
92,image_92,825,731,37.51,127.06,0,0,1,0,0
93,image_93,495,353,37.51,127.06,1,0,0,0,0
94,image_94,987,653,37.51,127.06,1,0,0,0,0
95,image_95,1017,775,37.51,127.06,1,0,0,0,0
96,image_96,719,621,37.51,127.06,1,0,0,0,0
97,image_97,457,301,37.58,127.04,1,0,0,0,0
98,image_98,643,397,37.58,127.04,1,0,0,0,0
99,image_99,789,651,37.58,127.04,1,0,0,0,0
100,image_100,559,387,37.58,127.04,1,0,0,0,0
1,r1_s.png,1536,2048,37.59,127.02,1,0,0,0,0
2,r3_s.png,1536,2048,37.59,127.02,1,0,0,0,0
3,r14_s.png,1536,2048,37.59,127.02,1,0,0,0,0
4,r15_s.png,1536,2048,37.59,127.02,1,0,0,0,0
5,r16_s.png,1536,2048,37.59,127.02,1,0,0,0,0
6,r17_s.png,1536,2048,37.59,127.02,1,0,0,0,0
7,r18_s.png,1536,2048,37.59,127.02,1,0,0,0,0
8,r19_s.png,1536,2048,37.59,127.02,1,0,0,0,0
9,r20_s.png,1536,2048,37.59,127.02,1,0,0,0,0
10,r21_s.png,1536,2048,37.59,127.02,1,0,0,0,0
11,r22_s.png,1536,2048,37.59,127.02,1,0,0,0,0
12,c6_s.png,1536,2048,37.59,127.02,0,0,1,0,0
13,c7_s.png,1536,2048,37.59,127.02,0,0,1,0,0
14,c8_s.png,1536,2048,37.59,127.02,0,0,1,0,0
15,c10_s.png,1450,2169,37.59,127.02,0,0,1,0,0
16,p20_s.png,1536,2048,37.59,127.02,0,1,0,0,0
17,p21_s.png,1576,1996,37.59,127.02,0,1,0,0,0
18,pa9_s.png,1536,2048,37.59,127.02,0,0,0,0,1
19,pa11_s.png,1536,2048,37.59,127.02,0,0,0,0,1
20,pa12_s.png,1536,2048,37.59,127.02,0,0,0,0,1
21,pa13_s.png,1536,2048,37.59,127.02,0,0,0,0,1
22,pa14_s.png,1536,2048,37.59,127.02,0,0,0,0,1
23,pa15_s.png,1536,2048,37.59,127.02,0,0,0,0,1
24,pa17_s.png,1536,2048,37.59,127.02,0,0,0,0,1
25,pa20_s.png,1536,2048,37.59,127.02,0,0,0,0,1
26,r6_k.png,1536,2048,37,127.07,1,0,0,0,0
27,r7_k.png,1536,2048,37,127.07,1,0,0,0,0
28,r8_k.png,1536,2048,37,127.07,1,0,0,0,0
29,r9_k.png,1536,2048,37,127.07,1,0,0,0,0
30,r10_k.png,1536,2048,37,127.07,1,0,0,0,0
31,r11_k.png,2048,1536,37,127.07,1,0,0,0,0
32,r12_k.png,1536,2048,37,127.07,1,0,0,0,0
33,r13_k.png,1536,2048,37,127.07,1,0,0,0,0
34,r24_k.png,1536,2048,37,127.07,1,0,0,0,0
35,r25_k.png,1536,2048,37,127.07,1,0,0,0,0
36,r26_k.png,1536,2048,37,127.07,1,0,0,0,0
37,p3_k.png,1536,2048,37,127.07,0,1,0,0,0
38,p4_k.png,1536,2048,37,127.07,0,1,0,0,0
39,p5_k.png,1536,2048,37,127.07,0,1,0,0,0
40,p6_k.png,1440,1080,37,127.07,0,1,0,0,0
41,p8_k.png,1536,2048,37,127.07,0,1,0,0,0
42,p9_k.png,1536,2048,37,127.07,0,1,0,0,0
43,p10_k.png,1536,2048,37,127.07,0,1,0,0,0
44,p11_k.png,1536,2048,37,127.07,0,1,0,0,0
45,p12_k.png,1536,2048,37,127.07,0,1,0,0,0
46,p13_k.png,2048,1536,37,127.07,0,1,0,0,0
47,p14_k.png,2048,1536,37,127.07,0,1,0,0,0
48,p15_k.png,2048,1536,37,127.07,1,1,0,0,0
49,p16_k.png,1536,2048,37,127.07,1,1,0,0,0
50,p19_k.png,1536,2048,37,127.07,0,1,0,0,0
51,p22_k.png,1536,2048,37,127.07,0,1,0,0,0
52,p23_k.png,1536,2048,37,127.07,0,1,0,0,0
53,pa1_k.png,1536,2048,37,127.07,0,0,0,0,1
54,pa2_k.png,1536,2048,37,127.07,0,0,0,0,1
55,pa3_k.png,1536,2048,37,127.07,0,0,0,0,1
56,pa4_k.png,1536,2048,37,127.07,0,0,0,0,1
57,pa6_k.png,1536,2048,37,127.07,0,0,0,0,1
58,pa7_k.png,1536,2048,37,127.07,0,0,0,0,1
59,pa8_k.png,1536,2048,37,127.07,0,0,0,0,1
60,pa10_k.png,1536,2048,37,127.07,0,0,0,0,1
61,pa16_k.png,1536,2048,37,127.07,0,0,0,0,1
62,pa18_k.png,1536,2048,37,127.07,0,0,0,0,1
63,pa19_k.png,1536,2048,37,127.07,0,0,0,0,1
64,r2_p.png,1536,2048,37,127.08,1,0,0,0,0
65,r4_p.png,1536,2048,37,127.08,1,0,0,0,0
66,r5_p.png,1536,2048,37,127.08,1,0,0,0,0
67,r23_p.png,1536,2048,37,127.08,1,0,0,0,0
68,c1_p.png,1536,2048,37,127.08,1,0,1,0,0
69,c2_p.png,1536,2048,37,127.08,1,0,1,0,0
70,c3_p.png,1536,2048,37,127.08,0,0,1,0,0
71,c4_p.png,1536,2048,37,127.08,0,0,1,0,0
72,c5_p.png,1536,2048,37,127.08,0,0,1,0,0
73,c9_p.png,1536,2048,37,127.08,0,0,1,0,0
74,p1_p.png,1536,2048,37,127.08,1,1,0,0,0
75,p2_p.png,1536,2048,37,127.08,0,1,0,0,0
76,p7_p.png,1536,2048,37,127.08,0,1,0,0,0
77,p17_p.png,1536,2048,37,127.08,0,1,0,0,0
78,p18_p.png,1536,2048,37,127.08,0,1,0,0,0
79,g1_p.png,1536,2048,37,127.08,0,0,0,1,0
80,pa5_p.png,1536,2048,37,127.08,0,0,0,0,1
81,r27_h.png,1536,2048,37,127.1,1,0,0,0,0
82,r28_h.png,1536,2048,37,127.1,1,0,0,0,0
83,r29_h.png,1636,1922,37,127.1,1,0,0,0,0
84,r30_h.png,1492,2108,37,127.1,1,0,0,0,0
85,r31_h.png,1472,2137,37,127.1,1,0,0,0,0
86,r32_h.png,1569,2003,37,127.1,1,0,0,0,0
87,r33_h.png,1536,2046,37,127.1,1,0,0,0,0
88,r34_h.png,1532,2054,37,127.1,1,0,0,0,0
89,r35_h.png,1536,2048,37,127.1,1,0,0,0,0
90,r36_h.png,1536,2048,37,127.1,1,0,0,0,0
91,r37_h.png,1438,2189,37,127.1,1,0,0,0,0
92,r38_h.jpeg,1536,2048,37,127.1,1,0,0,0,0
93,c11_h.jpeg,1536,2048,37,127.1,0,0,1,0,0
94,p24_h.png,1536,2048,37,127.1,0,1,0,0,0
95,p25_h.png,1510,2081,37,127.1,0,1,0,0,0
96,p26_h.png,2048,1536,37,127.1,0,1,0,0,0
97,p27_h.png,1987,1583,37,127.1,0,1,0,0,0
98,p28_h.png,1722,1826,37,127.1,0,1,0,0,0
99,p29_h.png,1676,1875,37,127.1,0,1,0,0,0
100,p30_h.png,1858,1692,37,127.1,0,1,0,0,0
101,p31_h.png,2048,1536,37,127.1,0,1,0,0,0
102,p33_h.jpeg,1536,2048,37,127.1,0,1,0,0,0
103,p32_h.jpeg,1536,2048,37,127.1,0,1,0,0,0
104,p34_h.jpeg,1536,2048,37,127.1,0,1,0,0,0
105,p35_h.jpeg,1536,2048,37,127.1,0,1,0,0,0
106,g2_h.png,1487,2115,37,127.1,0,0,0,1,0
1,IMG_001.jpg,3024,4032,37.59,127.01,1,0,0,0,0
2,IMG_002.jpg,2268,4032,37.59,127.01,0,0,0,0,1
3,IMG_003.jpg,2268,4032,37.59,127.01,0,0,0,0,1
4,IMG_004.jpg,2268,4032,37.59,127.01,0,1,0,0,0
5,IMG_005.jpg,2268,4032,37.59,127.01,0,1,0,0,0
6,IMG_006.jpg,2268,4032,37.59,127.01,0,1,0,0,0
7,IMG_007.jpg,2268,4032,37.59,127.01,0,1,0,0,0
8,IMG_008.jpg,2268,4032,37.59,127.01,0,1,0,0,0
9,IMG_009.jpg,2268,4032,37.59,127.01,0,1,0,0,0
10,IMG_010.jpg,2268,4032,37.59,127.01,0,1,0,0,0
11,IMG_011.jpg,2268,4032,37.59,127.01,0,1,0,0,0
12,IMG_012.jpg,2268,4032,37.59,127.01,0,1,0,0,0
13,IMG_013.jpg,2268,4032,37.59,127.01,1,0,0,0,0
14,IMG_014.jpg,2268,4032,37.59,127.01,0,1,0,0,0
15,IMG_015.jpg,2268,4032,37.59,127.01,1,0,0,0,0
16,IMG_016.jpg,2268,4032,37.59,127.01,0,1,0,0,0
17,IMG_017.jpg,2268,4032,37.58,127.01,0,1,0,0,0
18,IMG_018.jpg,2268,4032,37.58,127.01,1,0,0,0,0
19,IMG_019.jpg,2268,4032,37.58,127.01,0,0,0,0,1
20,IMG_020.jpg,2268,4032,37.58,127.01,0,0,1,0,0
21,IMG_021.jpg,2268,4032,37.58,127.01,0,0,1,0,0
22,IMG_022.jpg,2268,4032,37.58,127.01,1,0,0,0,0
23,IMG_023.jpg,2268,4032,37.58,127.01,1,0,0,0,0
24,IMG_024.jpg,2268,4032,37.58,127.01,1,0,0,0,0
25,IMG_025.jpg,2268,4032,37.58,127.01,1,0,0,0,0
26,IMG_026.jpg,2268,4032,37.58,127.01,0,1,0,0,0
27,IMG_027.jpg,2268,4032,37.58,127.01,0,1,0,0,0
28,IMG_028.jpg,2268,4032,37.58,127.01,0,1,0,0,0
29,IMG_029.jpg,2268,4032,37.54,127.03,0,1,0,0,0
30,IMG_030.jpg,2268,4032,37.54,127.03,0,1,0,0,0
31,IMG_031.jpg,2268,4032,37.54,127.03,0,1,0,0,0
32,IMG_032.jpg,2268,4032,37.54,127.03,0,1,0,0,0
33,IMG_033.jpg,2268,4032,37.54,127.03,0,1,0,0,0
34,IMG_034.jpg,2268,4032,37.59,127.01,1,0,0,0,0
35,IMG_035.jpg,2268,4032,37.59,127.01,1,0,0,0,0
36,IMG_036.jpg,2268,4032,37.59,127.01,1,0,0,0,0
37,IMG_037.jpg,2268,4032,37.59,127.01,1,0,0,0,0
38,IMG_038.jpg,2268,4032,37.59,127.01,1,0,0,0,0
39,IMG_039.jpg,2268,4032,37.59,127.01,0,1,0,0,0
40,IMG_040.jpg,2268,4032,37.59,127.01,0,1,0,0,0
41,IMG_041.jpg,2268,4032,37.59,127.01,0,1,0,0,0
42,IMG_042.jpg,2268,4032,37.59,127.01,0,1,0,0,0
43,IMG_043.jpg,2268,4032,37.59,127.01,0,1,0,0,0
44,IMG_044.jpg,2268,4032,37.59,127.01,0,1,0,0,0
45,IMG_045.jpg,2268,4032,37.59,127.01,0,1,0,0,0
46,IMG_046.jpg,2268,4032,37.59,127.01,0,1,0,0,0
47,IMG_047.jpg,2268,4032,37.59,127.01,0,1,0,0,0
48,IMG_048.jpg,2268,4032,37.59,127.01,0,1,0,0,0
49,IMG_049.jpg,2268,4032,37.59,127.01,0,1,0,0,0
50,IMG_050.jpg,2268,4032,37.59,127.01,1,0,0,0,0
51,IMG_051.jpg,2268,4032,37.59,127.01,1,0,0,0,0
52,IMG_052.jpg,2268,4032,37.59,127.01,1,0,0,0,0
53,IMG_053.jpg,2265,4026,37.59,127.01,0,0,1,0,0
54,IMG_054.jpg,2267,4030,37.59,127.01,0,0,1,0,0
55,IMG_055.jpg,2267,4030,37.59,127.01,0,0,1,0,0
56,IMG_056.jpg,2267,4030,37.59,127.01,0,0,1,0,0
57,IMG_057.jpg,2267,4030,37.59,127.01,0,0,1,0,0
58,IMG_058.jpg,2267,4030,37.59,127.01,0,0,1,0,0
59,IMG_059.jpg,2267,4030,37.59,127.01,0,0,1,0,0
60,IMG_060.jpg,2267,4030,37.59,127.01,0,1,0,0,0
61,IMG_061.jpg,2267,4030,37.59,127.01,0,1,0,0,0
62,IMG_062.jpg,2267,4030,37.59,127.01,0,1,0,0,0
63,IMG_063.jpg,2268,4032,37.59,127.01,0,1,0,0,0
64,IMG_064.jpg,2268,4032,37.59,127.01,0,1,0,0,0
65,IMG_065.jpg,2268,4032,37.59,127.01,0,1,0,0,0
66,IMG_066.jpg,2268,4032,37.59,127.01,0,1,0,0,0
67,IMG_067.jpg,2268,4032,37.59,127.01,0,1,0,0,0
68,IMG_068.jpg,2268,4032,37.59,127.01,0,1,0,0,0
69,IMG_069.jpg,2268,4032,37.59,127.01,0,1,0,0,0
70,IMG_070.jpg,2268,4032,37.59,127.01,0,1,0,0,0
71,IMG_071.jpg,2267,4030,37.59,127.01,0,1,0,0,0
72,IMG_072.jpg,2267,4030,37.59,127.01,0,1,0,0,0
73,IMG_073.jpg,2267,4030,37.59,127.01,0,1,0,0,0
74,IMG_074.jpg,2267,4030,37.59,127.01,0,1,0,0,0
75,IMG_075.jpg,2267,4030,37.59,127.01,0,1,0,0,0
76,IMG_076.jpg,2267,4030,37.59,127.01,0,1,0,0,0
77,IMG_077.jpg,2267,4030,37.59,127.01,0,1,0,0,0
78,IMG_078.jpg,2267,4030,37.59,127.01,1,0,0,0,0
79,IMG_079.jpg,2267,4030,37.59,127.01,1,0,0,0,0
80,IMG_080.jpg,2267,4030,37.59,127.01,1,0,0,0,0
81,IMG_081.jpg,2267,4030,37.59,127.01,1,0,0,0,0
82,IMG_082.jpg,2268,4032,37.59,127.01,0,1,0,0,0
83,IMG_083.jpg,2268,4032,37.59,127.01,0,1,0,0,0
84,IMG_084.jpg,2268,4032,37.59,127.01,0,1,0,0,0
